Analysis Neighborhood,Incident Category,Incident Number
Golden Gate Park,Fire Report,5
Presidio Heights,Drug Offense,2
Outer Mission,Traffic Violation Arrest,51
Chinatown,Missing Person,88
Inner Sunset,Traffic Violation Arrest,24
Haight Ashbury,Vehicle Impounded,1
Potrero Hill,Embezzlement,3
Treasure Island,Missing Person,33
Lone Mountain/USF,Traffic Violation Arrest,24
Potrero Hill,Robbery,47
Bayview Hunters Point,Robbery,366
Lakeshore,Vandalism,7
Presidio,Robbery,3
Glen Park,Other Miscellaneous,45
Japantown,Suspicious Occ,19
Nob Hill,Case Closure,4
Bayview Hunters Point,Embezzlement,34
Portola,Robbery,128
Mission,Rape,4
North Beach,Non-Criminal,288
Twin Peaks,Robbery,7
Portola,Embezzlement,2
Outer Richmond,Suspicious Occ,100
Presidio,Missing Person,2
South of Market,Case Closure,152
Bayview Hunters Point,Missing Person,278
Oceanview/Merced/Ingleside,Warrant,25
Russian Hill,Traffic Collision,7
Lakeshore,Forgery And Counterfeiting,14
Hayes Valley,Larceny Theft,2456
Bernal Heights,Drug Offense,31
Twin Peaks,Missing Person,8
Castro/Upper Market,Burglary,274
Outer Richmond,Weapons Carrying Etc,5
Portola,Missing Person,43
null,Weapons Offense,1
Visitacion Valley,Other Offenses,14
Marina,Disorderly Conduct,125
Oceanview/Merced/Ingleside,Sex Offense,3
Golden Gate Park,Fraud,39
Hayes Valley,Weapons Offence,3
Tenderloin,Motor Vehicle Theft?,2
Nob Hill,Stolen Property,43
Treasure Island,Embezzlement,1
Chinatown,Embezzlement,2
Potrero Hill,Missing Person,35
Chinatown,Robbery,98
Pacific Heights,Offences Against The Family And Children,39
Treasure Island,Robbery,8
Mission Bay,Other Offenses,19
West of Twin Peaks,Robbery,70
Tenderloin,Drug Offense,1816
South of Market,Sex Offense,249
Castro/Upper Market,Suspicious Occ,109
West of Twin Peaks,Embezzlement,2
Golden Gate Park,Weapons Offense,4
Marina,Vehicle Impounded,2
Oceanview/Merced/Ingleside,Case Closure,10
Pacific Heights,Larceny Theft,1373
Financial District/South Beach,Motor Vehicle Theft,325
Castro/Upper Market,Weapons Carrying Etc,17
Mission Bay,Other,17
Outer Richmond,Burglary,177
South of Market,Warrant,1062
Hayes Valley,Offences Against The Family And Children,79
Western Addition,Missing Person,153
North Beach,Other Miscellaneous,349
